game,ep,ytid,seconds,screenshot,wiki_line
Shadow of the Ninja,18,asObqPb_sgc,3480,Shadow of the Ninja (USA).png,
Clash at Demonhead,32,nO-eJmdM2Ig,3110,,
R.C. Pro-Am II,24,B-VYak4joYY,4080,,
Die Hard,47,tljF9Th23TI,3940,,
Lemmings,45,52h1-rXSCLg,6897,,
Rambo,16,ZUYSd8XOBzo,2000,,
Wizards & Warriors,23,TO0K85hA9uE,9758,Wizards _ Warriors (USA).png,l_654
NARC,7,WKvoWrbR5-g,4263,,
Dusty Diamond's All-Star Softball,9,Lt2ixSMYz_g,4665,,
California Games,4,i7GjD6TChrE,6994,,
Little Nemo: The Dream Master,5,yD6oy052448,8076,,
Top Gun,16,ZUYSd8XOBzo,7634,,
Pirates!,8,j800-eNkR6I,5740,,
Tiny Toon Adventures,12,A_PW9Xnkl-k,4318,,
M.C. Kids,28,b4yYUoL22oM,5825,,
Phantom Fighter,41,VABX9gSZtqg,6750,,
The Little Mermaid,9,Lt2ixSMYz_g,6976,"Little Mermaid, The (USA).png",
Track & Field,43,vMr8Tff5fn0,6563,Track _ Field (USA).png,
Whomp 'Em,21,BYAdYBLgDTA,4840,,
Bubble Bobble,13,L-2bfl94IGg,6470,,
Sqoon,13,L-2bfl94IGg,8296,,
Excitebike,15,4gDinOOJY0Y,479,,
Cabal,17,8LlHlnR7IqU,4388,,
Felix the Cat,35,ubV8iUlbMTA,8260,,
Elevator Action,19,XulBxMzF0_k,6748,Elevator Action (USA) (Virtual Console).png,
Hoops,44,s_hYP0-cWRw,6235,,
Maniac Mansion,18,asObqPb_sgc,5782,,
Nightshade,35,ubV8iUlbMTA,2970,,
Sky Kid,26,0hy-BQ9nRJk,8108,,
Klax,47,tljF9Th23TI,7016,,
Mario Bros.,24,B-VYak4joYY,307,,
Galaga: Demons of Death,14,7hA17-w9HXw,2779,,
Spy vs. Spy,2,AjYgfbIITwI,9345,Spy vs Spy (USA).png,
Donkey Kong,2,AjYgfbIITwI,4503,,
Donkey Kong Jr.,31,990ALGbfBM0,6212,,
Pac-Man,40,oRs1xq4rmhs,8350,Pac-Man (USA) (Namco).png,l_386
BurgerTime,2,AjYgfbIITwI,3507,,
Kid Niki: Radical Ninja,1,46AjLP33meU,6312,,
Ice Hockey,7,WKvoWrbR5-g,2760,,
Lunar Pool,1,46AjLP33meU,5585,,
Lode Runner,2,AjYgfbIITwI,8357,,
Ikari Warriors,3,g9Qa6fPIOxo,668,,
Rush'n Attack,9,Lt2ixSMYz_g,7899,,
Golf,27,0cZrjELizNo,1550,Golf (USA).png,
Xevious: The Avenger,36,xSLLZ-bG58w,4888,Xevious - The Avenger (USA).png,l_664
King's Knight,32,nO-eJmdM2Ig,7537,,
Space Shuttle Project,28,b4yYUoL22oM,4085,,
NES Play Action Football,31,990ALGbfBM0,7060,,
8 Eyes,30,on4uR0N9T24,6418,,
10-Yard Fight,24,B-VYak4joYY,1358,,
Qix,6,MXOf7JrEV5c,8905,QIX (USA).png,
Gyromite,23,TO0K85hA9uE,340,,
Anticipation,12,A_PW9Xnkl-k,5370,,
Hydlide,33,avJRrYDEGUY,1357,,
Where in Time is Carmen Sandiego?,41,VABX9gSZtqg,5516,Where in Time Is Carmen Sandiego (USA).png,l_643
Spy Hunter,4,i7GjD6TChrE,9530,,
Baseball,7,WKvoWrbR5-g,10236,"Baseball (USA, Europe).png",
Donkey Kong 3,30,on4uR0N9T24,5380,,
Jaws,46,AdIBDZRYwXs,4423,,
Solstice: The Quest for the Staff of Demnos,12,A_PW9Xnkl-k,2770,,
Pictionary,17,8LlHlnR7IqU,5318,,
Karate Champ,30,on4uR0N9T24,9929,,
Tennis,48,QKDNkdnV69Y,170,"Tennis (Japan, USA) (En).png",l_536
Dirty Harry,37,8piDFKn5AYk,2625,,
Dynowarz: Destruction of Spondylus,7,WKvoWrbR5-g,304,,
Spelunker,8,j800-eNkR6I,9025,,
Popeye,33,avJRrYDEGUY,168,,
Town & Country Surf Designs II: Thrilla's Surfari,17,8LlHlnR7IqU,8753,Town _ Country Surf Designs - Thrilla's Surfari (USA).png,l_606
Micro Machines,20,CPQwv8ztXHE,6845,,
Town & Country Surf Designs: Wood & Water Rage,16,ZUYSd8XOBzo,340,Town _ Country Surf Designs - Wood _ Water Rage (USA).png,l_607
Milon's Secret Castle,41,VABX9gSZtqg,1850,,
Ivan 'Ironman' Stewart's Super Off Road,11,pvS28XD9VTU,1698,,
Pin Bot,22,OTRnYs1D21k,8350,,l_394
M.U.L.E.,9,Lt2ixSMYz_g,8805,,
Conquest of the Crystal Palace,21,BYAdYBLgDTA,8010,,
Cyber Stadium Series: Base Wars,24,B-VYak4joYY,7325,,l_51
The Legend of Kage,27,0cZrjELizNo,222,"Legend of Kage, The (USA).png",
Spiritual Warfare,35,ubV8iUlbMTA,6013,,
Pinball,41,VABX9gSZtqg,168,,
720 Degrees,48,QKDNkdnV69Y,2414,,l_3
Fist of the North Star,46,AdIBDZRYwXs,2674,,
Flight of the Intruder,26,0hy-BQ9nRJk,3810,,
Remote Control,19,XulBxMzF0_k,3315,,
Zen Intergalactic Ninja,19,XulBxMzF0_k,9131,Zen - Intergalactic Ninja (USA).png,l_671
Eliminator Boat Duel,48,QKDNkdnV69Y,7370,,
Kung-Fu Heroes,45,52h1-rXSCLg,9341,,
Castle of Dragon,41,VABX9gSZtqg,8670,,
The Flintstones: The Rescue of Dino & Hoppy,47,tljF9Th23TI,8225,"Flintstones, The - The Rescue of Dino _ Hoppy (USA).png",
Volleyball,40,oRs1xq4rmhs,6070,"Volleyball (USA, Europe).png",l_627
Star Trek 25th Anniversary,25,I3Y7_lJi52U,5620,Star Trek - 25th Anniversary (USA).png,l_494
Galaxy 5000: Racing in the 51st Century,15,4gDinOOJY0Y,2010,,
Tiger-Heli,2,AjYgfbIITwI,6720,,
G.I. Joe: A Real American Hero,13,L-2bfl94IGg,4085,,
Battletoads,16,ZUYSd8XOBzo,6080,,
Gremlins 2: The New Batch,18,asObqPb_sgc,9383,,
Dragon Power,30,on4uR0N9T24,443,,
Kid Klown in Night Mayor World,22,OTRnYs1D21k,4720,,
Captain Skyhawk,1,46AjLP33meU,3507,,
Mach Rider,9,Lt2ixSMYz_g,3393,,
Skate or Die,11,pvS28XD9VTU,430,,l_468
Ninja Kid,44,s_hYP0-cWRw,5072,,
Duck Hunt,19,XulBxMzF0_k,2250,,
Nobunaga's Ambition,46.2,NumqTDoJHnI,237,,
The Immortal,45,52h1-rXSCLg,8248,"Immortal, The (USA).png",l_560
Double Dare,8,j800-eNkR6I,8115,,
The Karate Kid,9,Lt2ixSMYz_g,5784,"Karate Kid, The (USA).png",
Krusty's Fun House,10,2i22nCcC3Uc,1664,,
Marble Madness,10,2i22nCcC3Uc,3222,,
Jurassic Park,29,ZrAd8ONtwco,6355,,
Fantasy Zone,46,AdIBDZRYwXs,6630,,
Totally Rad,34,83TVBsKRMHs,7215,,
The Adventures of Captain Comic,39,gXQK9deTirQ,9368,Captain Comic - The Adventure (USA) (Unl).png,u_5
Mad Max,42,T5uwq45tx0U,6245,,
Rainbow Islands,33,avJRrYDEGUY,5235,Rainbow Islands (USA).png,l_421
Dick Tracy,12,A_PW9Xnkl-k,8685,,
Puzznic,16,ZUYSd8XOBzo,3794,,
Paperboy,25,I3Y7_lJi52U,10115,,
Trog,14,7hA17-w9HXw,5418,,
Hudson's Adventure Island,15,4gDinOOJY0Y,9525,,l_250
Yo! Noid,13,L-2bfl94IGg,5609,,
1942,14,7hA17-w9HXw,7599,,
Dr. Mario,28,b4yYUoL22oM,194,,
Bad Dudes,14,7hA17-w9HXw,3418,,
Fester's Quest,19,XulBxMzF0_k,4729,,
Gumshoe,35,ubV8iUlbMTA,310,,
Wario's Woods,29,ZrAd8ONtwco,5003,,
Bomber Man,25,I3Y7_lJi52U,4049,Bomberman (USA).png,l_77
Puss 'n Boots: Pero's Great Adventure,45,52h1-rXSCLg,5214,Puss n Boots - Pero's Great Adventure (USA).png,
Yoshi,22,OTRnYs1D21k,7283,,
RoboCop,8,j800-eNkR6I,4522,,
Werewolf: The Last Warrior,13,L-2bfl94IGg,7022,,
MagMax,38,BwKOY1bf4Zw,3530,Magmax (USA).png,l_324
The Three Stooges,5,yD6oy052448,9483,"Three Stooges, The (USA).png",
Classic Concentration,2,AjYgfbIITwI,7453,,
Renegade,2,AjYgfbIITwI,5400,,
Clu Clu Land,44,s_hYP0-cWRw,176,,
Jeopardy!,37,8piDFKn5AYk,8480,,
Street Fighter 2010: The Final Fight,19,XulBxMzF0_k,7375,,
Adventures of Tom Sawyer,37,8piDFKn5AYk,6710,Adventures of Tom Sawyer (USA).png,l_20
Advanced Dungeons & Dragons: Pool of Radiance,36,xSLLZ-bG58w,7346,Advanced Dungeons _ Dragons - Pool of Radiance (USA).png,
RoboWarrior,32,nO-eJmdM2Ig,8882,Robo Warrior (USA).png,l_436
Teenage Mutant Ninja Turtles,26,0hy-BQ9nRJk,325,,
Chubby Cherub,37,8piDFKn5AYk,5730,,
Captain America and the Avengers,43,vMr8Tff5fn0,8032,,l_94
Indiana Jones and the Temple of Doom,43,vMr8Tff5fn0,4418,,
Mickey Mousecapade,34,83TVBsKRMHs,9371,,
Ikari Warriors II: Victory Road,47,tljF9Th23TI,118,,
Godzilla: Monster of Monsters!,42,T5uwq45tx0U,7915,,l_224
Bee 52,38,BwKOY1bf4Zw,8490,Bee 52 (USA) (Unl).png,u_11
Ghoul School,33,avJRrYDEGUY,6810,,
Dr. Jekyll and Mr. Hyde,44,s_hYP0-cWRw,9188,,
Platoon,40,oRs1xq4rmhs,7160,,
Wheel of Fortune,38,BwKOY1bf4Zw,9570,Wheel of Fortune (USA).png,l_639
Hatris,48,QKDNkdnV69Y,5968,,
Hudson Hawk,41,VABX9gSZtqg,4485,,
Ghostbusters II,39,gXQK9deTirQ,4028,Ghostbusters II (USA).png,l_218
Star Wars,30,on4uR0N9T24,3692,,
Raid on Bungeling Bay,22,OTRnYs1D21k,1570,,
Pinball Quest,14,7hA17-w9HXw,6690,,
Adventures of Dino Riki,26,0hy-BQ9nRJk,2245,,
Mario's Time Machine,40,oRs1xq4rmhs,255,,
The Bugs Bunny Birthday Blowout,29,ZrAd8ONtwco,3435,"Bugs Bunny Birthday Blowout, The (USA).png",
Defenders of Dynatron City,24,B-VYak4joYY,8950,,
Break Time: The National Pool Tour,24,B-VYak4joYY,2910,,
Castlequest,10,2i22nCcC3Uc,9196,,
Q*Bert,17,8LlHlnR7IqU,8210,Q-bert (USA).png,l_412
The Adventures of Rad Gravity,36,xSLLZ-bG58w,200,"Adventures of Rad Gravity, The (USA).png",
Castelian,42,T5uwq45tx0U,4020,,
Silver Surfer,21,BYAdYBLgDTA,6228,,
Rollergames,20,CPQwv8ztXHE,340,,l_441
Gilligan's Island,16,ZUYSd8XOBzo,10638,"Adventures of Gilligan's Island, The (USA).png",l_544
Dig Dug II: Trouble in Paradise,18,asObqPb_sgc,7312,,l_150
The Krion Conquest,31,990ALGbfBM0,4125,"Krion Conquest, The (USA).png",
Vegas Dream,45,52h1-rXSCLg,2868,,
Jordan vs. Bird: One-on-One,21,BYAdYBLgDTA,3623,Jordan vs Bird - One On One (USA).png,l_277
Rampage,34,83TVBsKRMHs,2652,,
Baby Boomer,32,nO-eJmdM2Ig,5990,,
Caveman Games,14,7hA17-w9HXw,1440,,
Fisher-Price: Firehouse Rescue,3,g9Qa6fPIOxo,9284,,
Mappy-Land,45,52h1-rXSCLg,4003,,
Toobin',8,j800-eNkR6I,10063,,
WWF WrestleMania,8,j800-eNkR6I,2216,WWF Wrestlemania (USA).png,
Xenophobe,8,j800-eNkR6I,7150,,
Deadly Towers,5,yD6oy052448,5005,,
Skate or Die 2: The Search for Double Trouble,24,B-VYak4joYY,5425,,
Treasure Master,29,ZrAd8ONtwco,9340,,
Mystery Quest,44,s_hYP0-cWRw,3080,,
Sesame Street ABC,33,avJRrYDEGUY,4110,,l_453
Wally Bear and the NO! Gang,36,xSLLZ-bG58w,5650,Wally Bear and the No! Gang (USA) (Unl).png,
Sesame Street 123,34,83TVBsKRMHs,5995,Sesame Street - 123 (USA).png,l_452
The Simpsons: Bart vs. the Space Mutants,38,BwKOY1bf4Zw,180,"Simpsons, The - Bart vs. the Space Mutants (USA).png",l_579
Casino Kid,29,ZrAd8ONtwco,7729,,
The Black Bass USA,22,OTRnYs1D21k,5928,"Black Bass, The (USA).png",l_548
Snoopy's Silly Sports Spectacular!,12,A_PW9Xnkl-k,7720,,
Ghostbusters,11,pvS28XD9VTU,5220,,
Motor City Patrol,9,Lt2ixSMYz_g,1730,,
Super Pitfall,6,MXOf7JrEV5c,7977,,
Master Chu and the Drunkard Hu,11,pvS28XD9VTU,7160,,
Action 52,38.2,tEeS-Pxc6VY,170,,
Klash Ball,38,BwKOY1bf4Zw,7453,KlashBall (USA).png,l_295
Taboo: The Sixth Sense,23,TO0K85hA9uE,6767,,
Chiller,17,8LlHlnR7IqU,3382,,
Back to the Future,16,ZUYSd8XOBzo,9688,,
Where's Waldo?,28,b4yYUoL22oM,9386,Where's Waldo (USA).png,
Swamp Thing,26,0hy-BQ9nRJk,9160,,
The Blues Brothers,48,QKDNkdnV69Y,8495,"Blues Brothers, The (USA).png",l_550
Athena,4,i7GjD6TChrE,8340,,
Barbie,43,vMr8Tff5fn0,9384,,
Circus Caper,14,7hA17-w9HXw,4157,,
Robodemons,43,vMr8Tff5fn0,5580,,
The Uncanny X-Men,32,nO-eJmdM2Ig,525,"Uncanny X-Men, The (USA).png",
Operation Secret Storm,30,on4uR0N9T24,8405,,
