title,developer,publisher,year
Nigel Mansell's World Championship Racing,Gremlin Graphics,"GameTek (NA)
Gremlin Interactive (PAL)",1993
Nightshade,Beam Software,Ultra Games,1992
Ninja Crusaders,NMK,"Sammy (JP)
American Sammy (NA)",1990
"Ninja Gaiden
Ninja Ryūkenden  (JP)
Shadow Warriors (PAL)",Tecmo,Tecmo,1989
"Ninja Gaiden II: The Dark Sword of Chaos
Ninja Ryūkenden II: Ankoku no Jashinken (JP)
Shadow Warriors II (PAL)",Tecmo,Tecmo,1990
"Ninja Gaiden III: The Ancient Ship of Doom
Ninja Ryūkenden III: Yomi no Hakobune (JP)",Tecmo,Tecmo,1991
"Ninja Kid
Gegege no Kitaro: Youkai Daimakyou (JP)",Tose,Bandai,1986
"Nintendo World Cup
Nekketsu Koukou Dodgeball-bu Soccer-hen (JP)",Technōs Japan,"Technōs Japan (JP)
Nintendo (NA/PAL)",1990
"Nobunaga's Ambition
Nobunaga no Yabou: Zenkokuban (JP)",Koei,Koei,1989
"Nobunaga's Ambition II
Nobunaga no Yabou: Sengouku Gunyuuden (JP)",Koei,Koei,1991
North & South,Kemco,"Kemco (JP)
Kemco*Seika (NA)
Infogrames (PAL)",1990
Operation Wolf,Taito,Taito,1989
Orb-3D,Software Toolworks,Hi Tech Expressions,1990
"Othello
Family Computer Othello (JP)",HAL Laboratory,"Kawada, Co. Ltd (JP)
Acclaim Entertainment (NA)",1988
Overlord,Probe Software,Virgin Games,1993
"P.O.W.: Prisoners of War
Datsugoku (JP)",SNK,"K Amusements (JP)
SNK (NA)",1989
Pac-Man,Namco,"Namco
Tengen (NA)",1988
Palamedes,Natsume,Hot B,1990
"Panic Restaurant
Wanpaku Kokkun no Gourmet World (JP)",EIM,Taito,1992
Paperboy,Eastridge Technology,"Altron (JP)
Mindscape (NA/PAL)",1988
Paperboy 2,Eastridge Technology,Mindscape,1992
Peter Pan and the Pirates,Equilibrium,THQ,1991
"Phantom Fighter
Reigen Doushi (JP)","Marionette
SRS","Pony Canyon (JP)
FCI (NA)",1990
Pictionary,Software Creations,LJN,1990
Pin*Bot,Rare,Nintendo,1990
Pinball,"Nintendo R&D1
HAL Laboratory",Nintendo,1985
Pinball Quest,Tose,Jaleco,1990
Pipe Dream,Distinctive Software,Bullet-Proof Software,1990
Pirates!,Rare,"Ultra Games (NA)
Palcom Software (PAL)",1991
Platoon,Sunsoft,Sunsoft,1988
Popeye,Nintendo R&D1,Nintendo,1986
"Power Blade
Power Blazer (JP)",Natsume,Taito,1991
"Power Blade 2
Captain Saver (JP)",Natsume,Taito,1992
Power Punch II,Beam Software,American Softworks,1992
Predator,Pack-In-Video,"Pack-In-Video (JP)
Activision (NA/PAL)",1989
Prince of Persia,MotiveTime,"Virgin Games (NA)
Mindscape (PAL)",1992
"Princess Tomato in the Salad Kingdom
Salad no Kuni no Tomato Hime (JP)",Hudson Soft,Hudson Soft,1991
"Pro Sport Hockey
USA Ice Hockey in FC (JP)",Tose,Jaleco,1993
Pro Wrestling,Nintendo R&D3,Nintendo,1987
Punch-Out!! Featuring Mr. Dream,Nintendo R&D3,Nintendo,1990
"Puss 'n Boots: Pero's Great Adventure
Nagagutsu o Haita Neko: Sekai Isshū 80 Nichi Dai Bōken (JP)",Shouei System,"Toei Animation (JP)
Electro Brain (NA)",1990
Puzznic,Taito,"IGS (JP)
Taito (NA/PAL)",1990
Q*bert,Konami,Ultra Games,1989
Qix,Novotrade International,Taito,1991
"R.B.I. Baseball
Pro Yakyuu Family Stadium (JP)",Tengen,"Namco (JP)
Tengen (NA)",1988
R.C. Pro-Am,Rare,Nintendo,1988
R.C. Pro-Am II,Rare,Tradewest,1992
"Racket Attack
Moero!! Pro Tennis (JP)",Tose,Jaleco,1988
"Rad Racer
Highway Star (JP)",Square,Nintendo,1987
"Rad Racer II
Square Racing (JP)",Square,Square,1990
"Raid on Bungeling Bay
Bungeling Bay (JP)",Hudson Soft,"Hudson Soft (JP)
Brøderbund (NA)",1987
"Rainbow Islands
Rainbow Island: The Story of Bubble Bobble 2 (JP)",Taito,Taito,1991
"Rally Bike
Dash Yarou (JP)",Toaplan,"Visco (JP)
Romstar (NA)",1990
Rambo,Pack-In-Video,"Pack-In-Video (JP)
Acclaim Entertainment (NA)",1988
Rampage,Data East,Data East,1988
Rampart,Bitmasters,Jaleco,1992
Remote Control,Riedel Software Productions,Hi Tech Expressions,1990
"Renegade
Nekketsu Kouha Kunio Kun (JP)",Technōs Japan,"Technōs Japan (JP)
Taito (NA)",1988
"Rescue: The Embassy Mission
Hostages (JP)",Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1990
"Ring King
Family Boxing (JP)","Jastec
Neue Design","Namco (JP)
Data East (NA)",1987
"River City Ransom
Downtown Nekketsu Monogatari (JP)
Street Gangs (PAL)",Technōs Japan,"Technōs Japan (JP/NA)
Infogrames (PAL)",1990
RoadBlasters,Beam Software,Mindscape,1990
Robin Hood: Prince of Thieves,Sculptured Software,"Virgin Games (NA)
Mindscape (PAL)",1991
RoboCop,"Data East
Sakata SAS","Data East (JP/NA)
Ocean Software (PAL)",1989
RoboCop 2,Painting by Numbers,"Data East (JP/NA)
Ocean Software (PAL)",1991
RoboCop 3,Probe Software,Ocean Software,1992
"Robowarrior
Bomber King (JP)","Hudson Soft
Aicom","Hudson Soft (JP)
Jaleco (NA/PAL)",1988
"Rock 'n' Ball
Family Pinball (JP)",KID,"Namco (JP)
NTVIC (NA)",1990
Rocket Ranger,Beam Software,Kemco*Seika,1990
"Rockin' Kats
New York Nyankies (JP)",Atlus,Atlus,1991
Roger Clemens' MVP Baseball,Sculptured Software,LJN,1991
RollerGames,Konami,"Ultra Games (NA)
Konami (PAL)",1990
Rollerball,HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1990
Rollerblade Racer,Radiance,Hi Tech Expressions,1993
"Romance of the Three Kingdoms
San Goku Shi (JP)",Koei,Koei,1989
"Romance of the Three Kingdoms II
San Goku Shi II (JP)",Koei,Koei,1991
Roundball: 2 on 2 Challenge,Park Place Productions,Mindscape,1992
Rush'n Attack,Konami,Konami,1987
"Rygar
Argos no Senshi: Hachamecha Daishingeki (JP)",Tecmo,Tecmo,1987
"S.C.A.T.: Special Cybernetic Attack Team
Final Mission (JP)
Action in New York (PAL)",Natsume,"Natsume (JP/NA)
Infogrames (PAL)",1991
Section Z,Capcom,Capcom,1987
Seicross,Nichibutsu,"Nihon Bussan (JP)
FCI (NA)",1988
Sesame Street: 1-2-3,Zippo Games,Hi Tech Expressions,1989
Sesame Street: A-B-C,Zippo Games,Hi Tech Expressions,1989
Sesame Street: A-B-C/1-2-3,Zippo Games,Hi Tech Expressions,1991
Sesame Street: Big Bird's Hide & Speak,Riedel Software Productions,Hi Tech Expressions,1990
Sesame Street: Countdown,Riedel Software Productions,Hi Tech Expressions,1992
"Shadow of the Ninja
Kage (JP)
Blue Shadow (PAL)",Natsume,"Natsume (JP/NA)
Taito (PAL)",1990
Shadowgate,Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1989
"Shatterhand
Tokkyū Shirei Solbrain (JP)",Natsume,"Angel (JP)
Jaleco (NA/PAL)",1991
"Shingen the Ruler
Takeda Shingen II (JP)",Another,Hot-B,1990
Shooting Range,Tose,Bandai,1989
Short Order (part of Short Order / Eggsplode!),Tose,Nintendo,1989
Side Pocket,Data East,"Namco (JP)
Data East (NA/PAL)",1987
Silent Service,Rare,"Ultra Games (NA)
Konami (PAL)",1989
Silkworm,Sammy Japan,American Sammy,1990
Silver Surfer,Software Creations,Arcadia Systems,1990
Skate or Die 2: The Search for Double Trouble,Electronic Arts,Electronic Arts,1990
Skate or Die!,Konami,"Ultra Games (NA)
Palcom Software (PAL)",1988
Ski or Die,Konami,"Ultra Games (NA)
Palcom Software (PAL)",1991
Sky Kid,Namco,"Namco (JP)
Sunsoft (NA)",1987
Sky Shark,Software Creations,Taito,1989
Slalom,Rare,Nintendo,1987
Smash TV,Beam Software,Acclaim Entertainment,1991
Snake Rattle 'n' Roll,Rare,Nintendo,1990
Snake's Revenge,Konami,"Ultra Games (NA)
Konami (PAL)",1990
"Snoopy's Silly Sports Spectacular!
Donald Duck (JP)",Kemco,"Kemco (JP)
Kemco*Seika (NA)",1990
"Snow Brothers
Snow Bros. (JP)",Soft House,"Toaplan (JP)
Capcom (NA/PAL)",1991
Soccer,Intelligent Systems,Nintendo,1985
Solar Jetman: Hunt for the Golden Warpship,Zippo Games,"Tradewest (NA)
Nintendo (PAL)",1990
"Solomon's Key
Solomon no Kagi (JP)",Tecmo,Tecmo,1987
"Solstice: The Quest for the Staff of Demnos
Solstice (JP)",Software Creations,"Epic/Sony Records (JP)
CSG Imagesoft (NA)
Nintendo (PAL)",1990
Space Shuttle Project,Imagineering,Absolute Entertainment,1991
Spelunker,"Tamtex
Tose","Irem (JP)
Brøderbund (NA)",1987
Spider-Man: Return of the Sinister Six,Bits Studios,LJN,1992
"Spot: The Video Game
Spot (JP)",Virgin Mastertronic,"Bullet-Proof Software (JP)
Arcadia Systems (NA)",1990
Spy Hunter,Sunsoft,Sunsoft,1987
Spy vs. Spy,Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1988
Sqoon,Home Data,Irem,1987
"Stack-Up
Robot Block (JP)",Nintendo R&D1,Nintendo,1985
"Stadium Events
Family Trainer: Running Stadium (JP)",Human Entertainment,Bandai,1987
Stanley: The Search for Dr. Livingston,Sculptured Software,Electro Brain,1992
Star Force,Tecmo,Tecmo,1987
Star Soldier,Hudson Soft,"Hudson Soft (JP)
Taxan (NA)",1989
Star Trek: 25th Anniversary,Interplay Entertainment,"Ultra Games (NA)
Palcom Software (PAL)",1992
Star Trek: The Next Generation,Imagineering,Absolute Entertainment,1993
"Star Voyager
Cosmo Genesis (JP)",ASCII,"ASCII (JP)
Acclaim Entertainment (NA)",1987
Star Wars,"Lucasfilm Games
Beam Software",JVC Musical Industries,1991
"Star Wars: The Empire Strikes Back
Star Wars: Teikoku no Gyakushuu (JP)","Lucasfilm Games
Sculptured Software",JVC Musical Industries,1992
StarTropics,"Nintendo R&D3
Locomotive Corporation",Nintendo,1990
"Starship Hector
Hector '87 (JP)",Hudson Soft,Hudson Soft,1990
Stealth ATF,Imagineering,"Activision (NA)
Nintendo (PAL)",1989
"Stinger
Moero TwinBee (JP)",Konami,Konami,1987
"Street Cop
Family Trainer: Manhattan Police (JP)",Human Entertainment,Bandai,1989
"Street Fighter 2010: The Final Fight
2010 Street Fighter (JP)",Capcom,Capcom,1990
Strider,Capcom,Capcom,1989
"Super C
Super Contra (JP)
Probotector II: Return of The Evil Forces (PAL)",Konami,Konami,1990
Super Cars,Magnetic Fields,Electro Brain,1991
"Super Dodge Ball
Nekketsu Koukou Dodge Ball Bu (JP)",Technōs Japan,"Technōs Japan (JP)
CSG Imagesoft (NA)",1989
Super Glove Ball,Rare,Mattel,1990
Super Jeopardy!,Imagitec,GameTek,1991
Super Mario Bros.,Nintendo R&D4,Nintendo,1985
"Super Mario Bros. 2
Super Mario USA (JP)",Nintendo R&D4,Nintendo,1988
Super Mario Bros. 3,Nintendo R&D4,Nintendo,1990
Super Pitfall,Micronics,"Pony Canyon (JP)
Activision (NA)",1987
"Super Spike V'Ball
US Championship V'Ball (JP)",Technōs Japan,"Technōs Japan (JP)
Nintendo (NA/PAL)",1990
"Super Spy Hunter
Battle Formula (JP)",Sunsoft,Sunsoft,1992
"Super Team Games
Family Trainer: Daiundōkai (JP)",Human Entertainment,"Bandai (JP)
Nintendo (NA)",1988
Superman,Kemco,"Kemco (JP)
Kemco*Seika (NA)",1988
Swamp Thing,Imagineering,THQ,1992
Sword Master,Athena,"Athena (JP)
Activision (NA/PAL)",1992
Swords and Serpents,Interplay Entertainment,Acclaim Entertainment,1990
Taboo: The Sixth Sense,Rare,Tradewest,1989
"Tag Team Wrestling
Tag Team Pro Wrestling (JP)","Data East
Sakata SAS","Namco (JP)
Data East (NA)",1986
TaleSpin,Capcom,Capcom,1991
Target: Renegade,Software Creations,Taito,1990
Tecmo Baseball,Tecmo,Tecmo,1989
Tecmo Bowl,Tecmo,Tecmo,1989
"Tecmo Cup Soccer Game
Captain Tsubasa (JP)
Tecmo Cup: Football Game (PAL)",Tecmo,Tecmo,1992
Tecmo NBA Basketball,Sculptured Software,Tecmo,1992
Tecmo Super Bowl,Tecmo,Tecmo,1991
"Tecmo World Wrestling
Gekitou Pro Wrestling!! Toukon Densetsu (JP)",Tecmo,Tecmo,1990
"Teenage Mutant Ninja Turtles
Gekikame Ninja Den (JP)
Teenage Mutant Hero Turtles (PAL)",Konami,"Konami (JP)
Ultra Games (NA)
Palcom Software (PAL)",1989
"Teenage Mutant Ninja Turtles II: The Arcade Game
Teenage Mutant Ninja Turtles: Super Kame Ninja (JP)
Teenage Mutant Hero Turtles II: The Arcade Game (PAL)",Konami,"Konami (JP/PAL)
Ultra Games (NA)",1990
"Teenage Mutant Ninja Turtles III: The Manhattan Project
Teenage Mutant Ninja Turtles II: The Manhattan Project (JP)",Konami,Konami,1992
"Teenage Mutant Ninja Turtles: Tournament Fighters
Teenage Mutant Hero Turtles: Tournament Fighters (PAL)",Konami,Konami,1994
Tennis,"Nintendo R&D1
Intelligent Systems",Nintendo,1985
"Terminator 2: Judgment Day
Terminator 2 (JP)",Software Creations,"Pack-In-Video (JP)
LJN (NA/PAL)",1992
Terra Cresta,Nihon Bussan,"Nihon Bussan (JP)
Vic Tokai (NA)",1990
Tetris,Nintendo R&D1,"Bullet-Proof Software (JP)
Nintendo (NA/PAL)",1989
"Tetris 2
Tetris Flash (JP)",Tose,Nintendo,1993
The Addams Family,Ocean Software,Ocean Software,1992
The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean Software,1993
"The Adventures of Bayou Billy
Mad City (JP)",Konami,Konami,1989
The Adventures of Gilligan's Island,Human Entertainment,Bandai,1990
The Adventures of Rad Gravity,Interplay Productions,Activision,1990
The Adventures of Rocky and Bullwinkle and Friends,Radical Entertainment,THQ,1992
"The Battle of Olympus
Olympus no Tatakai (JP)",Infinity,"Imagineer (JP)
Brøderbund (NA)
Nintendo (PAL)",1989
"The Black Bass
The Black Bass 2 (JP)",Another,Hot-B,1989
The Blue Marlin,Hot-B,Hot-B,1992
The Blues Brothers,Titus Software,Titus Software,1992
"The Bugs Bunny Birthday Blowout
Happy Birthday Bugs (JP)
The Bugs Bunny Blowout (PAL)",Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1990
The Bugs Bunny Crazy Castle,Kemco,Kemco*Seika,1989
The Chessmaster,Software Toolworks,"Hi Tech Expressions (NA)
Nintendo (PAL)",1990
The Flintstones: Surprise at Dinosaur Peak,"Taito
Sol Corporation",Taito,1994
The Flintstones: The Rescue of Dino & Hoppy,"Taito
Sol Corporation",Taito,1991
"The Goonies II
The Goonies II: Fratelli Saigo no Chōsen (JP)",Konami,Konami,1987
The Great Waldo Search,Radiance,THQ,1992
"The Guardian Legend
Guardic Gaiden (JP)",Compile,"Irem (JP)
Brøderbund (NA)
Nintendo (PAL)",1989
The Hunt for Red October,Beam Software,Hi Tech Expressions,1991
The Immortal,Sandcastle,Electronic Arts,1990
The Incredible Crash Dummies,Software Creations,LJN,1994
The Jetsons: Cogswell's Caper!,Natsume,Taito,1992
The Jungle Book,Eurocom,Virgin Interactive Entertainment,1994
The Karate Kid,Atlus,LJN,1987
"The Krion Conquest
Magical Kids Doropi (JP)",Vic Tokai,Vic Tokai,1991
The Last Ninja,Beam Software,Jaleco,1991
The Last Starfighter,Eastridge Technology,Mindscape,1990
"The Legend of Kage
Kage no Densetsu (JP)",Taito,Taito,1987
"The Legend of Zelda
The Hyrule Fantasy: Zelda no Densetsu 1 (JP)",Nintendo R&D4,Nintendo,1987
"The Little Mermaid
The Little Mermaid: Ningyo Hime (JP)",Capcom,Capcom,1991
The Lone Ranger,Konami,Konami,1991
"The Mafat Conspiracy: Golgo 13
Golgo 13 II (JP)",Aicom,Vic Tokai,1990
"The Magic of Scheherazade
Arabian Dream Scheherazade (JP)",Culture Brain,Culture Brain,1990
The Miracle Piano Teaching System,Software Toolworks,"Software Toolworks (NA)
Mindscape (PAL)",1990
The Mutant Virus: Crisis in a Computer World,Rocket Science Productions,American Softworks,1992
The Punisher,Beam Software,LJN,1991
The Ren & Stimpy Show: Buckeroo$!,Imagineering,THQ,1993
The Rocketeer,Ironwind Software,Bandai,1991
The Simpsons: Bart vs. the Space Mutants,Imagineering,Acclaim Entertainment,1991
The Simpsons: Bart vs. the World,Imagineering,Acclaim Entertainment,1991
The Simpsons: Bartman Meets Radioactive Man,Imagineering,Acclaim Entertainment,1992
The Terminator,Radical Entertainment,Mindscape,1992
The Three Stooges,Beam Software,Activision,1989
The Uncanny X-Men,Pixel,LJN,1989
The Untouchables,Special FX Software,"Altron (JP)
Ocean Software (NA)",1991
The Young Indiana Jones Chronicles,Jaleco,Jaleco,1992
"Thunder & Lightning
Family Block (JP)",Visco Corporation,"Athena (JP)
Romstar (NA)",1990
Thunderbirds,Pack-In-Video,"Pack-In-Video (JP)
Activision (NA)",1990
Thundercade,Micronics,American Sammy,1989
Tiger-Heli,Micronics,"Pony Canyon (JP)
Acclaim Entertainment (NA)",1987
Time Lord,Rare,Milton Bradley Company,1990
Times of Lore,Toho,Toho,1991
Tiny Toon Adventures,Konami,Konami,1991
"Tiny Toon Adventures 2: Trouble in Wackyland
Tiny Toon Adventures 2: Montana Land e Yōkoso (JP)",Konami,Konami,1993
Tiny Toon Adventures Cartoon Workshop,Novotrade International,Konami,1992
To the Earth,Cirque Verte,Nintendo,1989
"Toki
JuJu Densetsu (JP)",Daiei Seisakusho,Taito,1991
Tom and Jerry,Software Creations,"Altron (JP)
Hi Tech Expressions (NA/PAL)",1991
"Tombs & Treasure
Taiyou no Shinden Asteka II (JP)",Compile,"Tokyo Shoseki (JP)
Infocom (NA)",1991
Top Gun,Konami,Konami,1987
"Top Gun: The Second Mission
Top Gun: Dual Fighters (JP)",Konami,Konami,1990
"Top Players' Tennis
World Super Tennis (JP)
Four Players' Tennis (PAL)",Home Data,"Asmik (JP/NA)
Nintendo (PAL)",1990
Total Recall,Interplay Entertainment,Acclaim Entertainment,1990
"Totally Rad
Magic John (JP)",Aicom,Jaleco,1991
"Touch Down Fever
Touch Down Fever: American Football (JP)",SNK,"K Amusement (JP)
SNK (NA)",1991
Town & Country II: Thrilla's Surfari,Sculptured Software,LJN,1992
Town & Country Surf Designs: Wood & Water Rage,Atlus,LJN,1988
Toxic Crusaders,Tose,Bandai,1992
"Track & Field
Hyper Olympic (JP)
Track & Field in Barcelona (PAL)",Konami,"Konami (JP/NA)
Kemco (PAL)",1987
"Track & Field II
Konami Sports in Seoul (JP)",Konami,Konami,1989
Treasure Master,Software Creations,American Softworks,1991
Trog!,Visual Concepts,Acclaim Entertainment,1991
"Trojan
Tatakai no Banka (JP)",Capcom,Capcom,1987
"Twin Cobra
Kyuukyoku Tiger (JP)",Micronics,"CBS Sony Group (JP)
American Sammy (NA)",1990
"Twin Eagle
Twin Eagle: Revenge Joe's Brother (JP)",SETA,Romstar,1989
"Ultima III: Exodus
Ultima (JP)",Newtopia Planning,"Pony Canyon (JP)
FCI (NA)",1989
"Ultima IV: Quest of the Avatar
Ultima: Seisha he no Michi (JP)","Atelier Double
Infinity","Pony Canyon (JP)
FCI (NA)",1990
Ultima V: Warriors of Destiny,Origin Systems,FCI,1993
"Ultimate Air Combat
Aces: Iron Eagle III (JP)",Activision,"Pack-In-Video (JP)
Activision (NA/PAL)",1992
"Ultimate Basketball
Taito Basketball (JP)",Aicom,"Taito (JP)
American Sammy (NA)",1990
"Uncharted Waters
Daikoukai Jidai (JP)",Koei,Koei,1991
"Uninvited
Akuma no Shoutaijou (JP)",Kemco,"Kemco (JP)
Kemco*Seika (NA)",1991
Urban Champion,Nintendo R&D1,Nintendo,1986
"Vegas Dream
Viva Las Vegas (JP)",HAL Laboratory,"Epic/Sony Records (JP)
HAL America (NA)",1990
"Vice: Project Doom
Gun-Dec (JP)",Aicom,"Sammy (JP)
American Sammy (NA)",1991
Videomation,FarSight Studios,THQ,1991
Volleyball,Pax Softnica,Nintendo,1987
"WCW Wrestling
Super Star Pro Wrestling (JP)",Nichibutsu,"Pony Canyon (JP)
FCI (NA)",1990
WWF King of the Ring,"Gray Matter
Eastridge Technology",LJN,1993
WWF WrestleMania,Rare,Acclaim Entertainment,1989
WWF WrestleMania Challenge,Rare,"Hot B (JP)
LJN (NA/PAL)",1990
WWF WrestleMania: Steel Cage Challenge,Sculptured Software,LJN,1992
"Wacky Races
Chiki Chiki Machine Mou Race (JP)",Atlus,Atlus,1992
"Wall Street Kid
Money Game II: Kabutochou no Kiseki (JP)",SOFEL,SOFEL,1990
"Wario's Woods
Wario no Mori (JP)",Nintendo R&D1,Nintendo,1994
Wayne Gretzky Hockey,Bethesda Softworks,THQ,1991
Wayne's World,Radical Entertainment,THQ,1993
"Werewolf: The Last Warrior
Choujinrou Senki Warwolf (JP)","Data East
Sakata SAS","Takara (JP)
Data East (NA/PAL)",1990
Wheel of Fortune,Rare,GameTek,1988
Wheel of Fortune Family Edition,Rare,GameTek,1990
Wheel of Fortune Junior Edition,Rare,GameTek,1989
Wheel of Fortune: Featuring Vanna White,Imagitec,GameTek,1992
Where in Time Is Carmen Sandiego?,Distinctive Software,Konami,1991
Where's Waldo?,Bethesda Softworks,THQ,1991
Who Framed Roger Rabbit,Rare,LJN,1989
"Whomp 'Em
Saiyuuki World 2 (JP)",Jaleco,Jaleco,1991
Widget,Graphic Research,Atlus,1992
Wild Gunman,"Nintendo R&D1
Intelligent Systems",Nintendo,1985
Willow,Capcom,Capcom,1989
"Win, Lose, or Draw",Riedel Software Productions,Hi Tech Expressions,1990
Winter Games,Atelier Double,Acclaim Entertainment,1987
"Wizardry II: The Knight of Diamonds
Wizardry II: Knight of Diamonds - The Second Scenario (JP)",Sir-Tech,ASCII,1992
Wizardry: Proving Grounds of the Mad Overlord,Sir-Tech,"ASCII (JP)
Nexoft (NA)",1990
"Wizards & Warriors
Densetsu no Kishi Elrond (JP)",Rare,"Jaleco (JP)
Acclaim Entertainment (NA/PAL)",1987
"Wizards & Warriors III: Kuros: Visions of Power
Wizards & Warriors III (PAL)",Zippo Games,Acclaim Entertainment,1992
Wolverine,Software Creations,LJN,1991
"World Champ
Great Boxing - Rush Up (JP)",Pixel,"Visco (JP)
Romstar (NA)
Taito (PAL)",1991
World Class Track Meet,Human Entertainment,Nintendo,1988
World Games,Software Creations,Milton Bradley Company,1989
"Wrath of the Black Manta
Ninja Cop Saizou (JP)",AI,"Kyugo (JP)
Taito (NA/PAL)",1990
Wrecking Crew,Nintendo R&D1,Nintendo,1985
"Wurm: Journey to the Center of the Earth
Chitei Senkou Bazolder (JP)",Cyclone System,"SOFEL (JP)
Asmik (NA)",1991
Xenophobe,Sunsoft,Sunsoft,1988
Xevious,Namco,"Namco (JP)
Bandai (NA/PAL)",1988
"Xexyz
Kame no Ongaeshi (JP)",Atlus,Hudson Soft,1990
"Yo! Noid
Kamen no Ninja Hamaru (JP)",Now Production,Capcom,1990
"Yoshi
Yoshi no Tamago (JP)
Mario & Yoshi (PAL)",Game Freak,Nintendo,1992
"Yoshi's Cookie
Yoshi no Cookie (JP)",Tose,Nintendo,1993
Zanac,Compile,FCI,1987
Zelda II: The Adventure of Link,Nintendo R&D4,Nintendo,1988
Zen the Intergalactic Ninja,Konami,Konami,1993
Zoda's Revenge: StarTropics II,"Nintendo R&D3
Locomotive Corporation",Nintendo,1994
"Zombie Nation
Abarenbou Tengu (JP)",KAZe,Meldac,1991
